iter	Logloss
0	0.6900498169
1	0.6873049756
2	0.6842654863
3	0.6824736245
4	0.6803303038
5	0.677969297
6	0.676503783
7	0.6742680386
8	0.6723258857
9	0.6701953622
10	0.6686275952
11	0.6658723728
12	0.6636218691
13	0.6612973294
14	0.6592993917
15	0.6569619406
16	0.6548559518
17	0.653702087
18	0.6511022624
19	0.6493537604
20	0.6472144605
21	0.6457623896
22	0.6441366764
23	0.6417006145
24	0.640333826
25	0.6379979055
26	0.6367300021
27	0.6349122695
28	0.6335366822
29	0.6321013964
30	0.6302494102
31	0.6291188412
32	0.6278623441
33	0.6264475413
34	0.6254965537
35	0.6242655309
36	0.6229780821
37	0.6217237677
38	0.6197905601
39	0.6180898407
40	0.6168085782
41	0.6156680257
42	0.6142389305
43	0.613335337
44	0.6118470146
45	0.6103768827
46	0.6093195375
47	0.6083604684
48	0.6074209561
49	0.6065189097
50	0.606019164
51	0.6051358947
52	0.6040011072
53	0.6030947496
54	0.6019912007
55	0.6007458421
56	0.6001018779
57	0.5995243157
58	0.5986448594
59	0.5977521993
60	0.5960775766
61	0.5952195023
62	0.594075195
63	0.5933351878
64	0.5926185622
65	0.5918362883
66	0.5909377044
67	0.5901631351
68	0.5894691094
69	0.5887515857
70	0.588096123
71	0.5873515538
72	0.5862932045
73	0.5853524419
74	0.5845401892
75	0.5839017717
76	0.5829446375
77	0.5821788437
78	0.5812415495
79	0.5808488168
80	0.5796698108
81	0.5787360372
82	0.5783394906
83	0.5777485325
84	0.5770535082
85	0.5768183332
86	0.5767689838
87	0.5762936143
88	0.575318001
89	0.5749118681
90	0.574285561
91	0.5736043514
92	0.5730817129
93	0.5727142229
94	0.5720753462
95	0.5717708281
96	0.5713157832
97	0.5705083685
98	0.5698268753
99	0.5694652582
100	0.5691354478
101	0.5688155782
102	0.5681756194
103	0.5675967585
104	0.5668651016
105	0.5662634993
106	0.5657013157
107	0.5654215157
108	0.5652105784
109	0.5643890957
110	0.5640142857
111	0.5636489618
112	0.5632835939
113	0.562478892
114	0.56192151
115	0.5613920655
116	0.5604503658
117	0.560104352
118	0.5596111242
119	0.5593256509
120	0.5591625192
121	0.5588818943
122	0.5583492888
123	0.5579365177
124	0.5574277121
125	0.5568887145
126	0.5560672882
127	0.555676647
128	0.555366502
129	0.5551707902
130	0.5549770415
131	0.5546713838
132	0.5544664372
133	0.5538701125
134	0.5532838331
135	0.5528614241
136	0.552509627
137	0.5521415549
138	0.5518928565
139	0.5516645618
140	0.5515625236
141	0.5512230135
142	0.5510994
143	0.5505950256
144	0.5500269842
145	0.5496813333
146	0.5492316265
147	0.5488020357
148	0.5482819815
149	0.5478223044
150	0.5473271919
151	0.5470102787
152	0.5468272187
153	0.5461685905
154	0.5454266414
155	0.5450467516
156	0.5446158729
157	0.5441167035
158	0.5437859149
159	0.5434139089
160	0.5429246486
161	0.5427815907
162	0.5425959864
163	0.5422699276
164	0.5420524906
165	0.5417775468
166	0.5415262323
167	0.5409485646
168	0.5407881427
169	0.5405792588
170	0.5401942847
171	0.5398915945
172	0.5394589081
173	0.5392500552
174	0.538832026
175	0.538403858
176	0.5381576718
177	0.5380267845
178	0.5377407294
179	0.5373759815
180	0.5370327737
181	0.5361205709
182	0.5356754221
183	0.5355308143
184	0.5352334073
185	0.5348802135
186	0.5345988443
187	0.53445096
188	0.5342744398
189	0.534144838
190	0.5339913423
191	0.5339335348
192	0.5336187111
193	0.533344835
194	0.5331243801
195	0.5329196493
196	0.5324053892
197	0.5321507196
198	0.5319222771
199	0.5318162037
200	0.5310892779
201	0.5308671304
202	0.530546292
203	0.5302695593
204	0.5300436555
205	0.5297620704
206	0.5294268342
207	0.5289793552
208	0.5288515701
209	0.5284954776
210	0.5283304013
211	0.5279703077
212	0.5274219698
213	0.5272201445
214	0.5266451279
215	0.5264597822
216	0.526287434
217	0.5260467846
218	0.5258823711
219	0.5257386513
220	0.5254105733
221	0.5250273975
222	0.524792974
223	0.5245565782
224	0.5243941166
225	0.5243327724
226	0.5241719657
227	0.5239072872
228	0.5236456203
229	0.5235024855
230	0.5231299381
231	0.522939732
232	0.5225845725
233	0.5223953752
234	0.5220009644
235	0.5218778355
236	0.5217270302
237	0.521375299
238	0.5212451089
239	0.5208562971
240	0.5204999937
241	0.5201812158
242	0.5198505613
243	0.5196330507
244	0.5194750425
245	0.5192527046
246	0.5190703138
247	0.5190000616
248	0.5189702502
249	0.5188077732
250	0.5185664649
251	0.5184075565
252	0.517856207
253	0.5178029709
254	0.517613872
255	0.5173527293
256	0.5171155001
257	0.5169456286
258	0.5168418448
259	0.5165837086
260	0.516029835
261	0.5159747477
262	0.5157831036
263	0.5155405115
264	0.5150700714
265	0.514568201
266	0.5143581284
267	0.5140560342
268	0.5138394224
269	0.5137688892
270	0.5136647021
271	0.5134002567
272	0.5133391111
273	0.5131844429
274	0.5130359145
275	0.5129327468
276	0.5128568858
277	0.5125153298
278	0.5125023229
279	0.51233689
280	0.512125836
281	0.5120207165
282	0.5117121758
283	0.5113129828
284	0.5112602053
285	0.5109830295
286	0.5108377993
287	0.5106055954
288	0.5101865798
289	0.5099957526
290	0.5097540052
291	0.5095396322
292	0.5093098441
293	0.5091361191
294	0.5088729991
295	0.5084473162
296	0.508288738
297	0.5080306195
298	0.5078640124
299	0.5072857789
300	0.5069526897
301	0.5064651341
302	0.5063303665
303	0.5059498784
304	0.5055355297
305	0.5053128665
306	0.5052388622
307	0.5051448717
308	0.505025023
309	0.504833412
310	0.5045000413
311	0.5043858502
312	0.5039084861
313	0.5038146663
314	0.5034767557
315	0.5033207712
316	0.5029000112
317	0.5026638055
318	0.5024314039
319	0.5021573849
320	0.5018789569
321	0.5015207386
322	0.5013362017
323	0.5011452537
324	0.5009837519
325	0.5008956024
326	0.500773468
327	0.5007414079
328	0.5005091349
329	0.5003566013
330	0.5001314352
331	0.4998530934
332	0.499463329
333	0.4992606755
334	0.4990333617
335	0.498792768
336	0.4986129786
337	0.4986111309
338	0.4982220617
339	0.4979619828
340	0.497769248
341	0.4974400023
342	0.4972617959
343	0.4970156643
344	0.4968334604
345	0.4967416465
346	0.4965844303
